DAY,TOKENID,PRICE,PRICE_USD
2023-03-19 23:00:00.000,4.2403482672810934e+76,0.0014,2.525413924
2023-03-19 19:00:00.000,1.0157054654611222e+77,0.0004,0.7297377128
2023-03-19 21:00:00.000,8.082447453081651e+75,0.0014,2.561347408
2023-03-19 07:00:00.000,7.814036405832791e+76,0.0005,0.8950373123
2023-03-19 23:00:00.000,7.529973307654648e+76,0.0014,2.525413924
2023-03-19 21:00:00.000,6.978702829413989e+76,0.0011,2.012487249
2023-03-19 19:00:00.000,6.354240048478807e+76,0.0014,2.554081995
2023-03-19 22:00:00.000,1.0875556580879509e+77,0.0011,1.985635735
2023-03-19 19:00:00.000,1.0578912201447806e+76,0.00038,0.6932508272
2023-03-19 19:00:00.000,1.0218145634657632e+77,0.0009,1.641909854
2023-03-19 19:00:00.000,2.1765601794183555e+76,0.001,1.824344282
2023-03-19 21:00:00.000,4.075019292267008e+76,0.0011,2.012487249
2023-03-19 19:00:00.000,3.033552401112533e+76,0.001,1.824344282
2023-03-19 05:00:00.000,2.979660749687508e+76,0.05,89.778873651
2023-03-19 05:00:00.000,2.96779837109706e+76,0.3,538.673241907
2023-03-19 19:00:00.000,2.7604062217371383e+76,0.0009,1.641909854
2023-03-19 22:00:00.000,4.21193663147108e+76,0.0014,2.527172754
2023-03-19 21:00:00.000,1.6710010908758975e+76,0.0011,2.012487249
2023-03-19 22:00:00.000,1.5596381652925713e+76,0.0014,2.527172754
2023-03-19 08:00:00.000,1.397063453492765e+76,0.00099,1.765308599
2023-03-19 19:00:00.000,1.1386166561597776e+77,0.0009,1.641909854
2023-03-19 19:00:00.000,1.1014528514070558e+77,0.0009,1.641909854
2023-03-20 00:00:00.000,8.582997486542393e+76,0.0014,2.541858566
2023-03-20 05:00:00.000,7.841265088365463e+76,0.00135,2.370719513
2023-03-20 06:00:00.000,8.169226810318596e+76,0.00135,2.381488492
2023-03-20 13:00:00.000,4.7775677893851555e+76,0.00075,1.342425594
